instance,solve_time(s),intvars
i-ng-60-64-40-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-32254.dat,22.6079,128
x_15_8.dat,22.6443,80
x_14_4.dat,25.4581,74
x_26_6.dat,25.8905,138
i-ng-20-120-100-18h-12mxP-6mxC-8mxH-2mnH-20171209_16-38-15.dat,25.919,240
i-ng-60-160-100-18h-12mxP-6mxC-8mxH-2mnH-20171210_07-27-28248.dat,27.2208,320
x_20_6.dat,27.9739,106
x_14_8.dat,29.3023,74
i-ng-20-120-100-18h-12mxP-6mxC-8mxH-2mnH-20171210_07-27-27313.dat,30.7828,240
x_20_2.dat,31.2106,106
x_18_3.dat,32.1584,96
x_19_3.dat,32.409,100
x_17_1.dat,32.5478,90
i-ng-20-120-100-18h-12mxP-6mxC-8mxH-2mnH-20171210_07-27-26868.dat,32.7029,240
x_17_7.dat,33.6917,90
i-ng-20-120-100-18h-12mxP-6mxC-8mxH-2mnH-20171210_07-27-27724.dat,34.7552,240
i-ng-20-120-100-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-31171.dat,35.2348,240
x_18_0.dat,35.4247,96
i-ng-20-120-100-18h-12mxP-6mxC-8mxH-2mnH-20171209_16-38-16.dat,35.5808,240
x_18_2.dat,36.4166,96
i-ng-60-64-40-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-32808.dat,37.1128,128
x_25_4.dat,37.4388,132
i-ng-60-160-100-18h-12mxP-6mxC-8mxH-2mnH-20171210_07-27-28791.dat,37.9174,320
i-ng-60-160-100-18h-12mxP-6mxC-8mxH-2mnH-20171210_07-27-29869.dat,37.9915,320
x_23_4.dat,39.6238,122
x_24_1.dat,39.9654,128
x_20_1.dat,40.5058,106
i-ng-60-160-100-18h-12mxP-6mxC-8mxH-2mnH-20171209_16-38-20.dat,40.7126,320
x_16_7.dat,42.2454,84
i-ng-20-120-100-18h-12mxP-6mxC-8mxH-2mnH-20171210_07-27-27753.dat,42.6717,240
x_23_8.dat,42.7931,122
i-ng-20-120-100-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-31565.dat,43.258,240
i-ng-60-64-40-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-32687.dat,43.3979,128
i-ng-20-120-100-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-31677.dat,43.983,240
i-ng-60-160-100-18h-12mxP-6mxC-8mxH-2mnH-20171210_07-27-28477.dat,44.7436,320
i-ng-20-120-100-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-31441.dat,45.4748,240
