instance,solve_time(s)
i-ng-30-8-6-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-43-54,0.00120115
i-ng-20-7-6-16h-8mxP-8mxC-6mxH-4mnH-20171209_00-42-47,0.00158191
i-ng-10-7-6-20h-13mxP-9mxC-8mxH-5mnH-20171209_00-43-19,0.00268292
i-ng-20-1-1-20h-18mxP-14mxC-11mxH-6mnH-20171209_00-43-36,0.00184011
i-ng-30-14-11-12h-8mxP-8mxC-6mxH-1mnH-20171209_00-42-31,0.00125599
i-ng-30-27-21-16h-13mxP-9mxC-8mxH-1mnH-20171209_00-42-59,0.00220394
i-ng-30-27-21-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-44-03,0.0014379
i-ng-20-19-16-16h-13mxP-13mxC-8mxH-5mnH-20171209_00-42-50,0.00169086
i-ng-30-1-1-20h-18mxP-18mxC-11mxH-6mnH-20171209_00-43-53,0.00184321
i-ng-10-12-11-20h-18mxP-10mxC-11mxH-6mnH-20171209_00-43-22,0.00163388
i-ng-20-7-6-16h-13mxP-13mxC-8mxH-1mnH-20171209_00-42-48,0.00174999
i-ng-10-12-11-16h-13mxP-9mxC-8mxH-1mnH-20171209_00-42-42,0.00314212
i-ng-20-31-26-16h-13mxP-9mxC-8mxH-5mnH-20171209_00-42-54,0.00200319
i-ng-20-1-1-12h-8mxP-8mxC-6mxH-1mnH-20171209_00-42-28,0.00247908
i-ng-10-29-26-16h-13mxP-9mxC-8mxH-1mnH-20171209_00-42-47,0.00177693
i-ng-30-34-26-16h-13mxP-13mxC-8mxH-1mnH-20171209_00-43-01,0.00184107
i-ng-30-27-21-20h-18mxP-10mxC-11mxH-1mnH-20171209_00-44-04,0.00141001
i-ng-20-25-21-16h-8mxP-8mxC-6mxH-1mnH-20171209_00-42-51,0.00134492
i-ng-20-13-11-20h-18mxP-10mxC-11mxH-6mnH-20171209_00-43-39,0.0020318
i-ng-20-7-6-20h-18mxP-10mxC-11mxH-6mnH-20171209_00-43-37,0.00176406
i-ng-10-18-16-16h-13mxP-9mxC-8mxH-1mnH-20171209_00-42-43,0.00188518
i-ng-30-27-21-16h-8mxP-8mxC-6mxH-4mnH-20171209_00-42-58,0.00257993
i-ng-30-27-21-16h-8mxP-8mxC-6mxH-4mnH-20171209_00-42-59,0.00116491
i-ng-10-23-21-20h-13mxP-9mxC-8mxH-1mnH-20171209_00-43-28,0.00244594
i-ng-20-7-6-20h-18mxP-18mxC-11mxH-1mnH-20171209_00-43-36,0.00153303
i-ng-30-34-26-20h-18mxP-10mxC-11mxH-6mnH-20171209_00-44-10,0.00136399
i-ng-30-21-16-20h-18mxP-10mxC-11mxH-1mnH-20171209_00-44-00,0.00166988
i-ng-30-27-21-20h-18mxP-14mxC-11mxH-6mnH-20171209_00-44-03,0.00104189
i-ng-10-23-21-20h-18mxP-10mxC-11mxH-6mnH-20171209_00-43-30,0.00234103
i-ng-20-19-16-20h-8mxP-8mxC-6mxH-4mnH-20171209_00-43-40,0.00163007
i-ng-20-25-21-20h-13mxP-13mxC-8mxH-1mnH-20171209_00-43-43,0.00159812
i-ng-20-31-26-20h-18mxP-14mxC-11mxH-6mnH-20171209_00-43-51,0.00145006
i-ng-0-16-16-20h-18mxP-10mxC-11mxH-1mnH-20171209_00-43-09,0.00254393
i-ng-10-18-16-20h-18mxP-18mxC-11mxH-6mnH-20171209_00-43-24,0.00211787
i-ng-30-14-11-16h-8mxP-8mxC-6mxH-1mnH-20171209_00-42-56,0.00121903
i-ng-30-34-26-16h-8mxP-8mxC-6mxH-1mnH-20171209_00-43-00,0.00128102
i-ng-30-14-11-16h-8mxP-8mxC-6mxH-1mnH-20171209_00-42-55,0.000989914
i-ng-30-34-26-20h-18mxP-10mxC-11mxH-1mnH-20171209_00-44-09,0.00118589
i-ng-20-1-1-16h-13mxP-13mxC-8mxH-5mnH-20171209_00-42-47,0.00254798
i-ng-30-34-26-20h-13mxP-9mxC-8mxH-1mnH-20171209_00-44-06,0.00221086
i-ng-30-34-26-20h-13mxP-9mxC-8mxH-1mnH-20171209_00-44-07,0.00102806
i-ng-10-7-6-12h-8mxP-8mxC-6mxH-4mnH-20171209_00-42-26,0.00172591
i-ng-20-7-6-16h-8mxP-8mxC-6mxH-1mnH-20171209_00-42-47,0.00539112
i-ng-10-1-1-20h-8mxP-8mxC-6mxH-4mnH-20171209_00-43-18,0.00186205
i-ng-10-7-6-20h-18mxP-10mxC-11mxH-1mnH-20171209_00-43-20,0.00167799
