x_24_4.dat, 27.428571429, 600.11||x_24_4.dat,15,21.634
x_24_5.dat, 20, 10.422||x_24_5.dat,27,300.015
x_24_6.dat, 26, 60.64||x_24_6.dat,28,300.015
x_24_7.dat, 42, 7.61||x_24_7.dat,24,56.6316
x_24_8.dat, 44, 600.094||x_24_8.dat,22,64.4575
x_25_0.dat, 29, 13.906||x_25_0.dat,30,120.213
x_25_1.dat, 18.75, 600.125||x_25_1.dat,29,69.8928
x_25_2.dat, 31.093526392, 600.203||x_25_2.dat,26,15.3424
x_25_3.dat, 31, 147.906||x_25_3.dat,29,176.506
x_25_4.dat, 31, 9.641||x_25_4.dat,33,37.4388
x_25_5.dat, 42, 10.359||x_25_5.dat,38,300.023
x_25_6.dat, 28, 132.047||x_25_6.dat,29,20.0187
x_25_7.dat, 25, 600.11||x_25_7.dat,38,300.031
x_25_8.dat, 21.651719961, 600.11||x_25_8.dat,29,87.6122
x_26_0.dat, 46, 12.219||x_26_0.dat,43,300.013
x_26_1.dat, 32, 10.39||x_26_1.dat,33,132.542
x_26_2.dat, 32, 249.578||x_26_2.dat,32,300.015
x_26_3.dat, 22.666666667, 600.047||x_26_3.dat,34,300.019
x_26_4.dat, 37, 33.094||x_26_4.dat,29,17.0817
x_26_5.dat, 40, 11.484||x_26_5.dat,33,181.728
x_26_6.dat, 43, 353.922||x_26_6.dat,30,25.8905
x_26_7.dat, 42, 8.875||x_26_7.dat,49,300.022
x_26_8.dat, 31, 247.125||x_26_8.dat,17,14.7726
x_27_0.dat, 33, 16.031||x_27_0.dat,36,300.013
x_27_1.dat, 28, 104.594||x_27_1.dat,49,300.015
x_27_2.dat, 34, 15.281||x_27_2.dat,31,112.233
x_27_3.dat, 48, 26.25||x_27_3.dat,45,300.019
x_27_4.dat, 50, 14.375||x_27_4.dat,34,13.6017
x_27_5.dat, 25, 6.453||x_27_5.dat,48,300.023
x_27_6.dat, 39, 311.843||x_27_6.dat,46,300.022
x_27_7.dat, 32, 600.36||x_27_7.dat,18,20.0494
x_27_8.dat, 33, 600.14||x_27_8.dat,26,110.91
x_28_0.dat, 24, 26.047||x_28_0.dat,52,256.191
x_28_1.dat, 36, 10.92||x_28_1.dat,35,10.4589
