instance,objective_fuction, solve_time(s)
x_41_0.dat,53,221.778
x_41_1.dat,63,234.027
x_41_2.dat,53,0.001863
x_41_5.dat,44,0.00243497
x_41_6.dat,51,105.734
x_41_7.dat,52,200.792
x_41_8.dat,48,0.00204396
x_42_0.dat,52,0.002038
x_42_1.dat,110,318.465
x_42_4.dat,73,206.495
x_42_5.dat,52,168.784
x_42_6.dat,48,0.00216818
x_42_7.dat,51,0.00568199
x_42_8.dat,42,0.00203109
x_43_0.dat,50,184.423
x_43_1.dat,46,87.4734
